165 165
0 0 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 55 1; -410357.7 2371.893 -7199257; -410403.9 2371.974 -7199285; -410378.4 2371.699 -7199327; -410332.3 2371.617 -7199299
13 56 1; -410332.3 2371.617 -7199299; -410378.4 2371.699 -7199327; -410353 2371.213 -7199370; -410306.8 2371.342 -7199342
13 57 1; -410306.8 2371.342 -7199342; -410353 2371.213 -7199370; -410327.4 2369.99 -7199413; -410281.2 2370.119 -7199385
13 58 1; -410281.2 2370.119 -7199385; -410327.4 2369.99 -7199413; -410301.8 2369.195 -7199455; -410255.6 2368.896 -7199427
13 59 1; -410255.6 2368.896 -7199427; -410301.8 2369.195 -7199455; -410276 2367.482 -7199497; -410229.8 2367.183 -7199470
13 60 1; -410229.8 2367.183 -7199470; -410276 2367.482 -7199497; -410250.2 2365.73 -7199540; -410204.1 2365.47 -7199512
13 61 1; -410204.1 2365.47 -7199512; -410250.2 2365.73 -7199540; -410224.5 2364.759 -7199582; -410178.3 2364.499 -7199554
13 62 1; -410178.3 2364.499 -7199554; -410224.5 2364.759 -7199582; -410198.6 2362.984 -7199625; -410152.6 2363.528 -7199597
13 63 1; -410152.6 2363.528 -7199597; -410198.6 2362.984 -7199625; -410172.9 2363.139 -7199667; -410126.8 2363.683 -7199639
13 64 1; -410126.8 2363.683 -7199639; -410172.9 2363.139 -7199667; -410147 2361.877 -7199709; -410101.1 2363.838 -7199682
13 65 1; -410101.1 2363.838 -7199682; -410147 2361.877 -7199709; -410121.3 2362.427 -7199752; -410075.4 2364.388 -7199724
13 66 1; -410075.4 2364.388 -7199724; -410121.3 2362.427 -7199752; -410095.5 2363.092 -7199794; -410049.6 2364.938 -7199767
13 67 1; -410049.6 2364.938 -7199767; -410095.5 2363.092 -7199794; -410069.7 2363.076 -7199837; -410023.8 2364.922 -7199809
13 68 1; -410023.8 2364.922 -7199809; -410069.7 2363.076 -7199837; -410044 2363.805 -7199879; -409998 2364.906 -7199852
13 69 1; -409998 2364.906 -7199852; -410044 2363.805 -7199879; -410018.1 2363.231 -7199922; -409972.1 2364.332 -7199894
13 70 1; -409972.1 2364.332 -7199894; -410018.1 2363.231 -7199922; -409992.3 2363.43 -7199964; -409946.2 2363.758 -7199936
13 71 1; -409946.2 2363.758 -7199936; -409992.3 2363.43 -7199964; -409966.5 2363.478 -7200006; -409920.4 2363.806 -7199979
13 72 1; -409920.4 2363.806 -7199979; -409966.5 2363.478 -7200006; -409940.7 2363.917 -7200049; -409894.6 2363.853 -7200021
13 73 1; -409894.6 2363.853 -7200021; -409940.7 2363.917 -7200049; -409914.9 2364.206 -7200091; -409868.8 2364.141 -7200063
13 74 1; -409868.8 2364.141 -7200063; -409914.9 2364.206 -7200091; -409889.1 2364.676 -7200133; -409842.9 2364.429 -7200105
13 75 1; -409842.9 2364.429 -7200105; -409889.1 2364.676 -7200133; -409863.3 2364.943 -7200175; -409817.1 2364.697 -7200148
13 76 1; -409817.1 2364.697 -7200148; -409863.3 2364.943 -7200175; -409837.6 2365.205 -7200218; -409791.3 2364.965 -7200190
13 77 1; -409791.3 2364.965 -7200190; -409837.6 2365.205 -7200218; -409811.8 2366.207 -7200260; -409765.5 2365.967 -7200232
13 78 1; -409765.5 2365.967 -7200232; -409811.8 2366.207 -7200260; -409786 2367.79 -7200302; -409739.7 2366.969 -7200274
13 79 1; -409739.7 2366.969 -7200274; -409786 2367.79 -7200302; -409760.2 2368.959 -7200345; -409713.9 2368.139 -7200317
13 80 1; -409713.9 2368.139 -7200317; -409760.2 2368.959 -7200345; -409734.5 2370.161 -7200387; -409688.1 2369.308 -7200359
13 81 1; -409688.1 2369.308 -7200359; -409734.5 2370.161 -7200387; -409708.7 2370.837 -7200429; -409662.3 2369.984 -7200401
13 82 1; -409662.3 2369.984 -7200401; -409708.7 2370.837 -7200429; -409682.9 2371.391 -7200471; -409636.4 2370.661 -7200443
13 83 1; -409636.4 2370.661 -7200443; -409682.9 2371.391 -7200471; -409657.2 2371.743 -7200513; -409610.7 2371.013 -7200485
13 84 1; -409610.7 2371.013 -7200485; -409657.2 2371.743 -7200513; -409584.9 2371.365 -7200528; -409584.9 2371.365 -7200528
13 85 0; -409584.9 2371.365 -7200528; -409584.9 2371.365 -7200528; -409584.9 2371.365 -7200528; 0 0 0
13 86 0; 0 0 0; -409584.9 2371.365 -7200528; -409533.4 2372.218 -7200612; 0 0 0
13 87 0; 0 0 0; -409533.4 2372.218 -7200612; -409533.4 2372.218 -7200612; 0 0 0
13 88 0; 0 0 0; -409533.4 2372.218 -7200612; -409481.7 2374.975 -7200696; 0 0 0
13 89 0; 0 0 0; -409481.7 2374.975 -7200696; 0 0 0; 0 0 0
13 90 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 91 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 92 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 93 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 94 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 95 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 96 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 97 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 98 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 99 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 100 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 101 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 102 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 103 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 104 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 105 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 106 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 107 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 108 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 109 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 110 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 111 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 112 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 113 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 114 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 115 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 116 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 117 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 118 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 119 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 120 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 121 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 122 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 123 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 124 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 125 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 126 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 127 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 128 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 129 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 130 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 131 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 132 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 133 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 134 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 135 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 136 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 137 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 138 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 139 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 140 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 141 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 142 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 143 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 144 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 145 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 146 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 147 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 148 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 149 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 150 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 151 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 152 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 153 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 154 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 155 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 156 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 157 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 158 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 159 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 160 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 161 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 162 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 163 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
13 164 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 0 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 1 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 2 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 3 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 4 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 5 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 6 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 7 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 8 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 9 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 10 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 11 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 12 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 13 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 14 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 15 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 16 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 17 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 18 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 19 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 20 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 21 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 22 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 23 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 24 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 25 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 26 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 27 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 28 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 29 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 30 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 31 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 32 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 33 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 34 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 35 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 36 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 37 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 38 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 39 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 40 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 41 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 42 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 43 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 44 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 45 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 46 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 47 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 48 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 49 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 50 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 51 0; 0 0 0; 0 0 0; -410551.7 2377.624 -7199141; -410459.3 2378.49 -7199086
14 52 1; -410459.3 2378.49 -7199086; -410551.7 2377.624 -7199141; -410500.9 2373.886 -7199227; -410408.4 2372.468 -7199171
14 53 1; -410408.4 2372.468 -7199171; -410500.9 2373.886 -7199227; -410475.5 2372.971 -7199270; -410408.4 2372.468 -7199171
14 54 1; -410408.4 2372.468 -7199171; -410475.5 2372.971 -7199270; -410450.1 2372.056 -7199312; -410403.9 2371.974 -7199285
14 55 1; -410403.9 2371.974 -7199285; -410450.1 2372.056 -7199312; -410424.6 2371.571 -7199355; -410378.4 2371.699 -7199327
14 56 1; -410378.4 2371.699 -7199327; -410424.6 2371.571 -7199355; -410399.1 2371.085 -7199398; -410353 2371.213 -7199370
14 57 1; -410353 2371.213 -7199370; -410399.1 2371.085 -7199398; -410373.5 2370.29 -7199440; -410327.4 2369.99 -7199413
14 58 1; -410327.4 2369.99 -7199413; -410373.5 2370.29 -7199440; -410347.9 2369.494 -7199483; -410301.8 2369.195 -7199455
14 59 1; -410301.8 2369.195 -7199455; -410347.9 2369.494 -7199483; -410322.1 2367.742 -7199525; -410276 2367.482 -7199497
14 60 1; -410276 2367.482 -7199497; -410322.1 2367.742 -7199525; -410296.4 2365.99 -7199568; -410250.2 2365.73 -7199540
14 61 1; -410250.2 2365.73 -7199540; -410296.4 2365.99 -7199568; -410270.5 2364.215 -7199610; -410224.5 2364.759 -7199582
14 62 1; -410224.5 2364.759 -7199582; -410270.5 2364.215 -7199610; -410244.6 2362.441 -7199652; -410198.6 2362.984 -7199625
14 63 1; -410198.6 2362.984 -7199625; -410244.6 2362.441 -7199652; -410218.8 2361.179 -7199694; -410172.9 2363.139 -7199667
14 64 1; -410172.9 2363.139 -7199667; -410218.8 2361.179 -7199694; -410192.9 2359.916 -7199737; -410147 2361.877 -7199709
14 65 1; -410147 2361.877 -7199709; -410192.9 2359.916 -7199737; -410167.2 2360.581 -7199779; -410121.3 2362.427 -7199752
14 66 1; -410121.3 2362.427 -7199752; -410167.2 2360.581 -7199779; -410141.4 2361.247 -7199822; -410095.5 2363.092 -7199794
14 67 1; -410095.5 2363.092 -7199794; -410141.4 2361.247 -7199822; -410115.7 2361.976 -7199864; -410069.7 2363.076 -7199837
14 68 1; -410069.7 2363.076 -7199837; -410115.7 2361.976 -7199864; -410090 2362.705 -7199907; -410044 2363.805 -7199879
14 69 1; -410044 2363.805 -7199879; -410090 2362.705 -7199907; -410064.2 2362.903 -7199949; -410018.1 2363.231 -7199922
14 70 1; -410018.1 2363.231 -7199922; -410064.2 2362.903 -7199949; -410038.4 2363.102 -7199992; -409992.3 2363.43 -7199964
14 71 1; -409992.3 2363.43 -7199964; -410038.4 2363.102 -7199992; -410012.7 2363.542 -7200034; -409966.5 2363.478 -7200006
14 72 1; -409966.5 2363.478 -7200006; -410012.7 2363.542 -7200034; -409986.9 2363.982 -7200076; -409940.7 2363.917 -7200049
14 73 1; -409940.7 2363.917 -7200049; -409986.9 2363.982 -7200076; -409961.1 2364.452 -7200119; -409914.9 2364.206 -7200091
14 74 1; -409914.9 2364.206 -7200091; -409961.1 2364.452 -7200119; -409935.3 2364.922 -7200161; -409889.1 2364.676 -7200133
14 75 1; -409889.1 2364.676 -7200133; -409935.3 2364.922 -7200161; -409909.6 2365.183 -7200203; -409863.3 2364.943 -7200175
14 76 1; -409863.3 2364.943 -7200175; -409909.6 2365.183 -7200203; -409883.8 2365.444 -7200245; -409837.6 2365.205 -7200218
14 77 1; -409837.6 2365.205 -7200218; -409883.8 2365.444 -7200245; -409858.1 2367.027 -7200288; -409811.8 2366.207 -7200260
14 78 1; -409811.8 2366.207 -7200260; -409858.1 2367.027 -7200288; -409832.3 2368.61 -7200330; -409786 2367.79 -7200302
14 79 1; -409786 2367.79 -7200302; -409832.3 2368.61 -7200330; -409806.6 2369.812 -7200373; -409760.2 2368.959 -7200345
14 80 1; -409760.2 2368.959 -7200345; -409806.6 2369.812 -7200373; -409780.8 2371.013 -7200415; -409734.5 2370.161 -7200387
14 81 1; -409734.5 2370.161 -7200387; -409780.8 2371.013 -7200415; -409755.1 2371.568 -7200457; -409708.7 2370.837 -7200429
14 82 1; -409708.7 2370.837 -7200429; -409755.1 2371.568 -7200457; -409729.4 2372.122 -7200499; -409682.9 2371.391 -7200471
14 83 1; -409682.9 2371.391 -7200471; -409729.4 2372.122 -7200499; -409703.8 2372.288 -7200541; -409657.2 2371.743 -7200513
14 84 1; -409657.2 2371.743 -7200513; -409703.8 2372.288 -7200541; -409678.1 2372.454 -7200584; -409584.9 2371.365 -7200528
14 85 1; -409584.9 2371.365 -7200528; -409678.1 2372.454 -7200584; -409652.4 2373.323 -7200626; -409584.9 2371.365 -7200528
14 86 1; -409584.9 2371.365 -7200528; -409652.4 2373.323 -7200626; -409626.7 2374.192 -7200668; -409533.4 2372.218 -7200612
14 87 1; -409533.4 2372.218 -7200612; -409626.7 2374.192 -7200668; -409601 2374.412 -7200710; -409533.4 2372.218 -7200612
14 88 1; -409533.4 2372.218 -7200612; -409601 2374.412 -7200710; -409575.4 2374.633 -7200752; -409481.7 2374.975 -7200696
14 89 0; -409481.7 2374.975 -7200696; -409575.4 2374.633 -7200752; 0 0 0; 0 0 0
14 90 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 91 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 92 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 93 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 94 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 95 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 96 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 97 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 98 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 99 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 100 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 101 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 102 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 103 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 104 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 105 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 106 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 107 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 108 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 109 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 110 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 111 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 112 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 113 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 114 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 115 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 116 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 117 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 118 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 119 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 120 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 121 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 122 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 123 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 124 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 125 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 126 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 127 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 128 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 129 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 130 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 131 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 132 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 133 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 134 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 135 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 136 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 137 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 138 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 139 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 140 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 141 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 142 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 143 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 144 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 145 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 146 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 147 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 148 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 149 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 150 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 151 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 152 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 153 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 154 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 155 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 156 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 157 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 158 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 159 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 160 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 161 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 162 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 163 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
14 164 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 0 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 1 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 2 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 3 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 4 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 5 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 6 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 7 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 8 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 9 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 10 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 11 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 12 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 13 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 14 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 15 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 16 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 17 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 18 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 19 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 20 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 21 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 22 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 23 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 24 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 25 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 26 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 27 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 28 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 29 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 30 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 31 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 32 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 33 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 34 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 35 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 36 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 37 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 38 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 39 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 40 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 41 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 42 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 43 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 44 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 45 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 46 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 47 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 48 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 49 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 50 0; 0 0 0; 0 0 0; 0 0 0; 0 0 0
15 51 0; 0 0 0; 0 0 0; -410551.7 2377.624 -7199141; -410551.7 2377.624 -7199141
15 52 1; -410551.7 2377.624 -7199141; -410551.7 2377.624 -7199141; -410547 2374.145 -7199255; -410500.9 2373.886 -7199227
15 53 1; -410500.9 2373.886 -7199227; -410547 2374.145 -7199255; -410521.6 2373.23 -7199297; -410475.5 2372.971 -7199270
15 54 1; -410475.5 2372.971 -7199270; -410521.6 2373.23 -7199297; -410496.2 2372.71 -7199340; -410450.1 2372.056 -7199312
15 55 1; -410450.1 2372.056 -7199312; -410496.2 2372.71 -7199340; -410470.7 2372.224 -7199383; -410424.6 2371.571 -7199355
